course_number,course_title,slug,block,primary_lang,lab_days
511,Programming for Data Science,py-prog,1,python,WTh
521,Computing Platforms for Data Science,platforms-dsci,1,none,MT
551,Descriptive Statistics and Probability for Data Science,stat-prob-dsci,1,R,MT
523,Programming for Data Manipulation,r-prog,1,R,WTh
512,Algorithms and Data Structures,alg-data-struct,2,python,WTh
531,Data Visualization I,viz-1,2,both,MT
552,Statistical Inference and Computation I,stat-inf-1,2,R,MT
571,Supervised Learning I,sup-learn-1,2,python,WTh
513,Databases and Data Retrieval,database-data-retr,3,none,WTh
522,Data Science Workflows,dsci-workflows,3,both,WTh
561,Regression I,regr-1,3,R,MT
573,Feature and Model Selection,feat-model-select,3,python,MT
542,Communication and Argumentation,comm-arg,4,none,WTh
562,Regression II,regr-2,4,R,WTh
524,Collaborative Software Development,collab-sw-dev,4,both,MT
572,Supervised Learning II,sup-learn-2,4,python,MT
532,Data Visualization II,viz-2,5,both,WTh
563,Unsupervised Learning,unsup-learn,5,python,MT
553,Statistical Inference and Computation II,stat-inf-2,5,python,MT
574,Spatial and Temporal Models,spat-temp-mod,5,python,WTh
541,"Privacy, Ethics, and Security",priv-eth-sec,6,none,WTh
525,Web and Cloud Computing,web-cloud-comp,6,none,MT
554,Experimentation and Causal Inference,exper-causal-inf,6,R,MT
575,Advanced Machine Learning,adv-mach-learn,6,python,WTh
